id,slug,old_words,new_words,first_120_chars
4708,garage-door-emergency-release-when-and-how-to-use-it,1277,814,The emergency release is the red cord hanging from your opener rail. Pull it when the power is out or the opener quits a
4709,garage-door-opener-secrets-every-homeowner-should-know,1253,792,"The best kept secrets about garage door openers are simple: the opener does not lift the door, the safety sensors are th"
4710,garage-door-sensors-routine-checks-to-ensure-home-safety,1514,810,"Checking your garage door sensors takes two minutes. Look for a steady light on both photo eyes near the floor, wipe the"
4711,garage-door-spring-safety,1624,879,"Garage door spring safety comes down to one rule: look, listen, and keep your hands off. Springs are under extreme tensi"
4712,garage-door-springs-the-hidden-dangers,1279,789,"The hidden danger of garage door springs is simple physics. They hold back the entire weight of your door, all day, ever"
4713,giving-your-garage-door-some-tlc-an-annual-checklist,1307,806,"An annual garage door checklist covers six things: lubricate the moving parts, tighten the hardware, test the balance, t"
4714,keeping-weatherstripping-in-top-condition,1245,823,"Keeping weatherstripping in top condition means checking it twice a year, keeping it clean and flexible, and replacing a"
4715,keyless-entry-how-to-choose-the-perfect-keypad-system,1243,788,Choosing the perfect keypad system comes down to four questions. Is it compatible with your opener brand and its securit
4716,the-art-of-proper-garage-door-balance,1279,798,Proper garage door balance means the springs carry the door's weight so evenly that the door will float in place at any 
4717,the-dos-and-donts-of-garage-door-cables,1241,794,"The dos and don'ts of garage door cables are short and strict. Do inspect them visually, keep them clean, and call a pro"
4718,the-importance-of-garage-door-roller-inspection,1783,816,Rollers matter because they are the wheels your door rides on. Every open and close sends the door gliding along its tra
4719,the-role-of-horsepower-in-picking-the-perfect-opener,2124,727,"Horsepower matters when picking an opener, but less than most people think. The right rating depends on the size and wei"
4720,the-ultimate-guide-to-choosing-your-garage-door-opener,1451,740,"Choosing a garage door opener comes down to four decisions: the drive type, the power rating, the safety and security fe"
4721,the-unparalleled-advantages-of-direct-drive-systems,1122,730,"The big advantage of a direct drive opener is simplicity: the motor itself travels along a stationary chain, so the whol"
4722,trusty-tips-for-prolonging-the-life-of-your-garage-door-opener,1358,736,"The single best way to prolong the life of your garage door opener is to keep the door itself in good shape. A balanced,"
4723,unraveling-the-mystery-of-garage-door-sensors,1324,751,There is no real mystery to garage door sensors: they are two small eyes near the floor that shoot an invisible infrared
4724,upgrade-your-home-the-aesthetic-benefits-of-a-new-garage-door-opener,1357,733,A new garage door opener improves the look of your garage in ways people do not expect. The aesthetic benefits are real:
4725,when-to-diy-and-when-to-call-a-pro-for-garage-door-repairs,1421,715,"Here is the honest line between DIY and pro for garage door repairs: you can safely handle cleaning, lubrication, tighte"
4778,can-a-stranger-open-my-garage-door,3309,769,"Can a stranger open your garage door? With a modern opener, it is unlikely. Rolling code technology changes the access c"
4779,do-you-lock-the-door-between-garage-and-the-house,2401,728,"Yes. Lock the door between your garage and your house, every day, even when the garage door is down. That interior door "
4780,how-do-i-secure-my-garage-door-when-on-vacation,2215,765,"To secure your garage door while you are on vacation, do three things before you leave: press the lock button on your op"
4781,how-do-you-baby-proof-a-garage-door,2372,739,"Baby proofing a garage door means four things: keep remotes and wall buttons out of small hands, test the door's auto-re"
4782,why-do-we-have-to-childproof-your-garage-door,2906,753,"We have to childproof garage doors because a garage door is the largest and heaviest moving object in a home, and childr"
4812,can-i-use-wd-40-to-lubricate-garage-door,2775,722,You can use classic WD-40 on a garage door in one narrow role: as a cleaner. It is not the right lubricant for the job. 
4813,what-maintenance-should-be-done-on-a-garage-door,2819,737,"Garage door maintenance breaks into three layers: a quick monthly look-and-listen with two safety tests, lubrication and"
4814,what-should-i-use-to-lubricate-my-garage-door,2497,747,Use a silicone-based spray or white lithium grease to lubricate your garage door. Those two products are made for the jo
4821,boosting-your-homes-value-with-insulated-garage-doors,4061,726,"An insulated garage door boosts your home's value in two ways at once. It improves the things buyers can see, a solid, q"
4822,choosing-between-single-and-double-layer-insulated-garage-doors,4056,763,Choosing between a single layer and a double layer garage door comes down to what the garage needs to do. A single layer
4823,insulation-matters-improve-your-garage-doors-efficiency,3053,752,Insulation improves your garage door's efficiency by cutting the heat that pours through the largest opening in your hou
4824,reduce-utility-bills-with-an-insulated-garage-door,3633,731,An insulated garage door can help reduce utility bills when the garage is attached to your home. The door is the largest
