id,slug,old_words,new_words,first_120_chars
1,reasons-not-to-diy-garage-door-repair,755,742,"Should you fix your own garage door? In most cases, no. We repair garage doors every day, and a lot of our calls start w"
2346,7-garage-door-problems-to-watch-out-for,754,724,"What garage door problems should you watch for? The big seven are noisy operation, slow response, sagging or uneven move"
2349,garage-door-closes-unevenly-prevention-reason-solutions,749,706,"Why does a garage door close unevenly? Almost always it comes down to one of four things: an obstructed or dirty track, "
2352,do-upgraded-garage-doors-increase-home-value,728,753,Do upgraded garage doors increase home value? Yes. A new garage door is consistently ranked among the best home improvem
2354,setting-garage-door-opener-limits,512,755,How do you set garage door opener travel limits? Travel limits tell the opener exactly where the fully open and fully cl
2355,best-ways-to-remove-rust-from-my-garage-door,561,763,"What is the best way to remove rust from a garage door? For light surface rust, wash the door, scrub the rusted spots wi"
4210,maintain-garage-door-for-long-lasting-performance,552,712,How do you maintain a garage door for long-lasting performance? Four habits cover most of it: lubricate the moving parts
4225,difference-between-regular-and-high-cycle-torsion-springs,822,711,What is the difference between regular and high-cycle torsion springs? Cycle life. One cycle is the door going up and co
4229,the-differences-between-extension-and-torsion-springs-in-garage-doors,551,772,What is the difference between extension and torsion springs? Location and how they work. Torsion springs mount on a sha
4286,smart-garage-doors-future-home-automation,2781,712,Why are smart garage doors the future of home automation? Because the garage door is the door most families actually use
4291,how-to-save-energy-and-money-with-energy-efficient-garage-doors,2861,763,"How do you save energy and money with an energy-efficient garage door? An insulated, well-sealed garage door slows heat "
4295,the-pros-and-cons-of-different-garage-door-materials,2642,754,"What are the pros and cons of different garage door materials? Steel is the versatile all-rounder, wood is the beauty th"
4300,the-top-benefits-of-insulated-garage-doors-for-your-home,2638,717,"What are the top benefits of an insulated garage door? Warmer winters and cooler summers in the garage, lower strain on "
4306,does-an-insulated-garage-door-increase-the-value-of-your-home,2603,732,Does an insulated garage door increase the value of your home? Yes. Garage door replacement consistently ranks near the 
4332,what-does-ippt-inch-pounds-per-turn-mean-for-torsion-springs,4136,754,What does IPPT mean for torsion springs? IPPT stands for inch pounds per turn. It measures how much torque a torsion spr
4350,how-do-you-fix-a-sagging-garage-door,3701,709,"How do you fix a sagging garage door? First find out why it sags. On sectional doors, sagging usually traces to worn hin"
4424,how-to-clean-garage,3689,700,"How do you clean a garage? Work top to bottom in four passes: empty it out, sort what you removed, clean the space itsel"
4438,how-do-you-fix-a-garage-door-that-keeps-stopping,5177,845,"How do you fix a garage door that keeps stopping? Start with the safety sensors, since they cause most stopping and reve"
4460,do-garage-doors-need-an-annual-maintenance,5100,715,"Do garage doors need annual maintenance? Yes. A garage door is the largest moving object in your home, cycling under hea"
4465,what-is-the-average-life-of-a-garage-door-opener,2816,744,"What is the average life of a garage door opener? Most openers give somewhere around ten to fifteen years of service, as"
4475,what-is-the-lifespan-of-a-garage-door,2698,753,"What is the lifespan of a garage door? A well-built, well-maintained garage door commonly lasts several decades, as of o"
4526,how-do-i-adjust-the-limits-on-my-garage-door-opener,3742,784,"How do you adjust the limits on a garage door opener? Find the limit adjustment controls on the motor unit, usually two "
4549,what-are-the-different-types-of-garage-door-rollers,3117,749,"What are the different types of garage door rollers? Rollers come in a handful of varieties: basic steel, steel with bal"
4555,how-to-keep-your-garage-door-secure,995,708,"How do you keep your garage door secure? Treat it like the front door it really is: lock down the opener technology, rem"
4558,the-history-of-the-garage-door,1160,749,What is the history of the garage door? It is really the history of the car finding a place to sleep. Over roughly a cen
4566,how-to-choose-the-right-garage-door-automation-system-for-your-home,1052,745,How do you choose the right garage door automation system for your home? Start with compatibility with your existing ope
4570,the-benefits-of-automating-your-garage-door,1298,749,"What are the benefits of automating your garage door? Convenience you feel every day, security you can verify from anywh"
4578,how-automation-is-changing-the-way-we-open-and-close-our-garages,1045,735,"How is automation changing the way we open and close our garages? The garage door is quietly becoming a connected, manag"
4581,how-to-automate-your-garage-door-with-your-smart-home-system,1312,745,How do you automate your garage door with your smart home system? Either add a smart controller to your existing opener 
4585,5-ways-to-use-garage-door-automation-to-make-your-life-easier,1059,750,What are the best ways to use garage door automation to make life easier? Five stand out from the homes we service: neve
