id,slug,old_words,new_words,first_120_chars
5153,counterbalance-systems-weight-distribution-spring-calculations,3587,768,"A garage door counterbalance system is the set of springs, cables, and drums that offsets the weight of the door so it c"
5154,high-speed-garage-doors,3273,769,High-speed garage doors are doors built to open and close several times faster than a standard sectional door. They do i
5229,2023-garage-door-trends-enhancing-functionality-and-style,786,736,"The garage door upgrades that add real function and style are insulation, windows, modern panel designs, quiet hardware,"
5264,torquemaster-garage-door-springs,1319,753,TorqueMaster is Wayne Dalton's proprietary spring system. Instead of exposed torsion springs mounted on a shaft above th
5439,how-do-you-align-a-garage-door-sensor,1744,760,"To align a garage door sensor, loosen the wing nut on the misaligned sensor bracket, aim the sensor so its lens points d"
5492,how-to-match-your-garage-door-with-your-homes-exterior-design,1071,770,"To match your garage door to your home's exterior, start with your home's architectural style, then choose the door's pa"
5493,invisible-damage-how-to-spot-hidden-problems-in-your-garage-door,1033,766,"You spot hidden garage door problems early by checking the parts that wear quietly: cables, rollers, hinges, springs, tr"
5494,energy-efficient-garage-doors-and-why-you-need-one,989,747,Energy-efficient garage doors are insulated doors built to slow heat transfer between your garage and the outdoors. Are 
5495,insight-into-smart-garage-doors,942,763,"A smart garage door is a door whose opener connects to your home network, so you can open it, close it, and check its st"
5496,addressing-noise-issues-in-your-garage-door,965,787,"A noisy garage door is usually caused by one of a handful of things: worn rollers, loose hardware, dry hinges and spring"
5524,an-in-depth-analysis-of-torsion-springs,1773,756,Torsion springs are wound steel springs that counterbalance a garage door by storing energy as torque. The materials the
5525,advanced-garage-door-security,3519,737,"Modern garage door security works on three layers: encrypted radio signals between your remote and opener, monitoring an"
5526,custom-engineering-for-large-commercial-garage-doors,1587,794,"Large commercial garage doors are engineered case by case because at commercial scale, size, weight, wind, and cycle cou"
5527,belt-drive-vs-chain-drive-openers,4331,788,Belt drive and chain drive openers last about the same when both are maintained; neither has a decisive lifespan advanta
5528,insulating-materials-and-their-thermal-conductivity,3508,709,"Garage door insulation comes down to two main materials, polystyrene and polyurethane, and one number, the R-value, whic"
5529,technical-guide-on-api-integrations-with-smart-home-systems,2361,780,Garage doors connect to smart home systems through the opener: a Wi-Fi enabled opener or add-on module joins your home n
5531,retrofitting-older-garage-doors,2773,708,"Retrofitting an older garage door means upgrading its parts, rollers, seals, opener, insulation, and safety equipment, i"
5708,clopay-sectional-garage-door-installation,700,747,"Installing a Clopay sectional garage door means assembling the door section by section in the opening, building the trac"
5714,clopay-insulated-steel-sectional-garage-door-installation,594,779,"A Clopay insulated steel sectional door is a door built as a sandwich: steel skins around a foam insulation core, hinged"
5746,clopay-garage-door-lock-installation,780,786,"A Clopay garage door lock is a mechanical lock, usually an inside slide lock or a keyed T-handle with lock bars, that ph"
5765,science-behind-garage-door-springs,816,770,The science behind garage door springs is stored mechanical energy. A spring is a device that stores work: wind it or st
5767,hottest-garage-door-trends-in-2023,2359,769,The garage door style trends we actually like are the ones that will still look good in fifteen years: modern flush pane
5778,what-do-emergency-garage-door-repair-services-include,1840,750,"Emergency garage door repair covers the failures that cannot wait for a scheduled visit: snapped springs, broken cables,"
5782,secure-your-internet-connected-garage-door-opener,702,753,"To secure an internet-connected garage door opener, lock down the account that controls it: a strong unique password, tw"
5789,chamberlain-garage-door-opener-installation,577,774,"Installing a Chamberlain garage door opener involves assembling the rail, mounting the motor unit to the ceiling, connec"
5797,how-to-install-a-chamberlain-chain-drive-and-belt-drive-garage-door-opener,645,764,"Installing a Chamberlain chain drive or belt drive opener follows the same process, because the two machines are the sam"
5812,how-do-i-get-my-garage-door-back-on-track,1115,750,"If your garage door has come off its track, the honest answer is: stop using it and have it professionally re-set. A doo"
5821,what-to-do-if-you-lose-your-garage-door-opener-remote,2130,792,"If you lose your garage door opener remote, do two things: find another way to operate the door for the moment, your wal"
5837,genie-garage-door-opener-installation-manual,4164,756,A Genie garage door opener installation manual walks you through the same core sequence regardless of model: assemble th
5980,the-complete-guide-to-garage-door-seals,2071,717,Garage door seals are the flexible strips that close the gaps around and within your door: the bottom seal against the f
6193,tips-to-stop-your-garage-door-from-freezing-shut,673,723,"To stop your garage door from freezing shut, keep water away from the bottom seal: clear snow at the door line, wipe the"
6239,setting-up-your-myq-wi-fi-garage-door-opener-a-step-by-step-guide,651,726,"To set up a MyQ Wi-Fi garage door opener, download the myQ app, create an account, and follow the in-app steps to connec"
6245,how-do-i-fix-my-garage-door-sensors-from-the-sun,721,787,"To fix garage door sensors that malfunction in the sun, you have to deal with direct sunlight overwhelming the receiving"
6256,how-long-do-garage-door-parts-last,516,728,"How long garage door parts last depends on the part and, more than anything, on how often the door runs. Springs are the"
6891,can-a-garage-door-be-repaired-in-cold-weather,1520,789,"Yes, a garage door can be repaired in cold weather. We repair doors all winter, including spring replacements, cable rep"
6910,what-is-the-best-type-of-garage-door-to-install,1497,705,"The best type of garage door to install, for most homes, is an insulated steel sectional door: durable, low maintenance,"
6913,how-do-i-know-if-my-garage-door-opener-needs-to-be-repaired-or-replaced,1573,775,"Repair the opener when the problem is small and the unit is modern: sensor issues, remotes, travel and force adjustments"
7002,can-i-install-a-garage-door-opener-by-myself,1531,715,"Yes, you can install a garage door opener yourself if you are comfortable with tools, have a helper, and your door itsel"
7006,what-happens-if-you-skip-garage-door-maintenance,1502,786,"Skip garage door maintenance and the door does not fail right away, it degrades quietly: parts wear faster, the door get"
7010,how-often-does-a-garage-door-opener-need-repair,1495,745,A garage door opener does not need repair on any fixed schedule. A quality opener on a well-balanced door can run for ye
7012,what-are-the-best-garage-door-maintenance-tips,1580,769,"The best garage door maintenance tips are simple and repeatable: watch and listen to the door monthly, lubricate the mov"
7017,how-do-i-know-my-garage-door-spring-repair-was-done-correctly,1580,782,"You know a garage door spring repair was done correctly by how the door behaves afterward: it lifts smoothly by hand, st"
