id,slug,old_words,new_words,first_120_chars
5751,garage-door-window-cleaning,286,712,"Garage door windows made from Lexan or other acrylic materials clean up well with mild dish soap, lukewarm water, and a "
5729,installing-clopay-residential-sectional-wood-garage-doors,485,726,Installing a Clopay residential sectional wood garage door is a full-day job that involves assembling heavy wood section
5725,clopay-ez-set-extension-spring-system-installation,420,773,The Clopay EZ-Set extension spring system is a counterbalance setup designed to make spring installation more controlled
5717,clopay-low-headroom-conversion-kit-installation,453,788,A Clopay low headroom conversion kit lets a sectional garage door operate in a garage that does not have enough space ab
5098,twins-garage-doors-technicians-achieve-idea-residential-installer-certification,343,729,Every technician at Twins Garage Doors has completed the Institute of Door Dealer Education and Accreditation Residentia
4221,the-different-types-of-garage-door-openers-which-is-right-for-you,479,722,"There are four main types of garage door openers: chain drive, belt drive, screw drive, and wall-mounted jackshaft units"
4217,how-an-appealing-garage-door-can-increase-the-value-of-your-home,265,727,"Yes, an appealing garage door can increase the value of your home. On many houses the garage door is a quarter or more o"
4213,troubleshooting-a-garage-door-that-wont-open,412,778,"When a garage door will not open, the cause is usually one of a short list: no power to the opener, a locked-out remote,"
4206,benefits-of-upgrading-to-a-smart-garage-door-opener,474,770,Upgrading to a smart garage door opener gets you three things that matter in daily life: you can check whether the door 
4202,5-signs-that-its-time-to-replace-your-garage-door,467,769,How do you know it is time to replace your garage door rather than keep repairing it? Watch for five signs: constant bre
4197,the-benefits-of-a-garage-door-opener-camera,350,740,"A garage door opener camera gives you live video of your garage and a recorded history of everything that happens there,"
4192,importance-garage-door-opener-battery-backup,173,743,"A garage door opener with battery backup keeps your door working when the power goes out, which is exactly when you are "
7046,how-much-does-garage-door-opener-installation-cost,1558,918,"Garage door opener installation cost depends on four things: the opener you choose, the features it carries, the conditi"
7019,why-does-garage-door-installation-cost-so-much,1558,923,"Garage door installation costs what it does because you are not buying a slab of steel, you are buying a counterbalanced"
7014,what-is-the-average-garage-door-repair-cost,1497,912,"The average garage door repair cost is a nearly useless number, and we say that as the people doing the repairs. A repai"
7008,what-affects-the-cost-of-garage-door-installation,1538,909,"The cost of a garage door installation is set by seven factors: door size, material, construction layers, insulation, st"
5481,how-much-does-it-cost-to-repair-a-garage-door,1092,919,"How much does it cost to repair a garage door? As of our last update, minor repairs typically ran from $150 to $350, whi"
5826,is-it-cheaper-to-repair-or-replace-a-garage-door,2340,924,"Is it cheaper to repair or replace a garage door? In the short term, repair is almost always the cheaper invoice. Over t"
4480,can-i-replace-just-the-garage-door,2304,916,"Yes, you can replace just the garage door and keep your existing opener, and in many cases that is exactly the right mov"
6902,how-do-i-know-if-my-garage-door-spring-is-broken,1489,910,"How do you know if your garage door spring is broken? The classic signs are a loud bang from the garage, a visible gap i"
6929,what-happens-if-you-dont-replace-a-broken-garage-door-spring,1489,903,"What happens if you do not replace a broken garage door spring? Nothing good, and it compounds. The door becomes dead we"
5480,how-long-do-garage-door-springs-last,4957,916,"How long do garage door springs last? Springs are rated in cycles, one full open and close, rather than years. As of our"
4971,garage-door-costs-factors-to-consider,1325,911,"Garage door cost comes down to a handful of factors you control: the size of the door, the material and insulation you c"
6076,are-garage-door-openers-worth-repairing,2235,901,"Are garage door openers worth repairing? Often, yes. If the opener is under about ten years old and the fault is a senso"
4323,is-it-worth-repairing-a-garage-door-opener,4134,910,"Is it worth repairing a garage door opener? Yes, when the opener is relatively young and the fault is one of the common,"
